title,avg_hours_watched,avg_hours_streamed,avg_streamers,avg_viewers,avg_channels,app_id,release_date,reviews_total,review_avg_percent,launch_price_cents,dataset_est_rev_cents
Welcome to the Game II,1565779,6417,1480,2158,8,720250,2018-04-03,2334,86.0,999,2331666
What Remains of Edith Finch,207522,1582,668,282,2,501300,2017-04-24,30648,95.0,1999,61265352
White Day: A Labyrinth Named School,406009,3150,493,552,4,466130,2017-08-22,2196,81.0,2999,6585804
Witch It,324012,887,327,444,1,559650,2020-10-22,12495,89.0,1999,24977505
Wizard of Legend,1237082,21405,5057,1670,28,445980,2018-05-15,15011,91.0,1599,24002589
Wo Long: Fallen Dynasty,4841739,201263,33987,6530,270,1448440,2023-03-03,17053,46.0,5999,102300947
Wolcen: Lords of Mayhem,4926745,117217,10863,7056,166,424370,2020-02-13,60570,56.0,3999,242219430
Wolfenstein II: The New Colossus,821863,14209,3860,1122,19,612880,2017-10-26,24922,79.0,3999,99663078
Wolfenstein: The New Order,239937,6057,1592,324,8,201810,2014-05-19,35754,90.0,1999,71472246
Wolfenstein: Youngblood,1188315,24882,5459,1599,33,1056960,2019-07-25,9677,46.0,2999,29021323
World War 3,747886,22182,4140,1006,29,674020,2022-12-10,52225,54.0,2800,146230000
World War Z,1334385,97954,23338,1843,134,699130,2021-09-21,11025,83.0,3999,44088975
Worms Armageddon,151017,453,71,203,0,217200,1999-05-31,6210,94.0,1499,9308790
Worms Revolution,168141,533,209,228,0,200170,2012-10-10,5113,86.0,1499,7664387
Worms W.M.D,493131,2105,716,684,2,327030,2016-08-23,6845,85.0,2999,20528155
Wreckfest,584017,10751,2143,798,14,228380,2018-06-14,25573,86.0,3999,102266427
Wrestling Empire,832915,1182,290,1121,1,1620340,2021-07-02,1477,94.0,1999,2952523
X4: Foundations,435613,8038,754,591,10,392160,2018-11-30,14330,76.0,4999,71635670
XERA: Survival,883459,11118,2155,1189,14,625340,2021-09-26,7116,67.0,1999,14224884
Yakuza 0,356920,6762,833,493,8,638970,2018-08-01,48028,95.0,1999,96007972
Yakuza 6: The Song of Life,669121,8292,683,913,10,1388590,2021-03-25,3928,93.0,1999,7852072
Yakuza Kiwami,305547,3644,419,422,4,834530,2019-02-19,11737,93.0,1999,23462263
Yakuza Kiwami 2,985041,8679,704,1331,11,927380,2019-05-09,9660,95.0,2999,28970340
Yakuza: Like a Dragon,2260420,49438,3201,3093,67,1235140,2020-11-10,16933,95.0,5999,101581067
"Yes, Your Grace",583076,3703,795,784,4,1115690,2020-03-06,6877,85.0,1999,13747123
Ylands,199534,10320,1625,268,13,298610,2019-12-05,7274,61.0,1500,10911000
Yooka-Laylee,672344,27601,4491,935,38,360830,2017-04-11,2498,78.0,3999,9989502
Youtubers Life,184518,3513,1179,258,4,428690,2016-05-18,13592,77.0,2499,33966408
Zero Escape: Zero Time Dilemma,321911,3755,401,433,5,311240,2016-06-29,3317,84.0,1999,6630683
Zombie Army 4: Dead War,612082,16364,2297,880,23,694280,2021-02-18,5104,85.0,4999,25514896
iRacing,1102195,59276,4573,1512,80,266410,2015-01-12,1460,76.61,3999,5838540
rFactor 2,645424,3489,490,897,4,365960,2013-03-28,5445,80.0,3199,17418555
