app_id,tag
367520,Open World
367520,Cute
367520,Controller
367520,Side Scroller
1172620,Adventure
1172620,Open World
1172620,Co op
1172620,Online Co Op
1172620,Action
1172620,PvP
1172620,First Person
1172620,Exploration
1172620,Funny
1172620,PvE
1172620,Massively Multiplayer
1172620,Atmospheric
1172620,FPS
1172620,Swordplay
1172620,Great Soundtrack
1172620,Singleplayer
648800,Survival
648800,Open World Survival Craft
648800,Multiplayer
648800,Co op
648800,Crafting
648800,Open World
648800,Building
648800,Base Building
648800,Online Co Op
648800,Adventure
648800,Sandbox
648800,First Person
648800,Singleplayer
648800,Early Access
648800,Simulation
648800,Action
648800,Indie
648800,Strategy
648800,Massively Multiplayer
960090,Strategy
960090,Multiplayer
960090,Singleplayer
960090,Co op
960090,Online Co Op
960090,Family Friendly
960090,Casual
960090,3D
960090,Cartoony
960090,Sandbox
960090,Great Soundtrack
960090,Difficult
960090,Funny
960090,Cute
960090,Survival
960090,Action
960090,Indie
960090,2D
960090,Adventure
582010,Multiplayer
582010,Action
582010,Open World
582010,RPG
582010,Third Person
582010,Character Customization
582010,Adventure
582010,Fantasy
582010,Difficult
582010,Singleplayer
582010,Action RPG
582010,Exploration
582010,Great Soundtrack
582010,Replay Value
582010,Atmospheric
582010,Hack and Slash
582010,JRPG
582010,Souls like
1938090,FPS
1938090,Multiplayer
1938090,Action
1938090,Shooter
1938090,Singleplayer
1938090,Military
1938090,First Person
1938090,War
1938090,Modern
1938090,Tactical
1938090,Violent
1938090,Co op
1938090,Realistic
1938090,Story Rich
1938090,Atmospheric
1938090,Mature
1938090,Online Co Op
1938090,Gore
1938090,Third Person Shooter
1938090,Third Person
322170,Music
322170,Great Soundtrack
322170,Level Editor
322170,2D
322170,Colorful
322170,Singleplayer
322170,Platformer
322170,Character Customization
322170,Arcade
322170,Indie
322170,Side Scroller
322170,Action
322170,Funny
322170,Family Friendly
322170,Casual
322170,Strategy
322170,Adventure
374320,Dark Fantasy
374320,Difficult
374320,RPG
374320,Atmospheric
374320,Lore Rich
374320,Third Person
374320,Exploration
374320,Story Rich
374320,Action RPG
374320,Co op
374320,Great Soundtrack
374320,Adventure
374320,Action
374320,PvP
374320,Multiplayer
374320,Open World
374320,Singleplayer
374320,Character Customization
374320,Replay Value
250900,Roguelike
250900,Indie
250900,Replay Value
