Reviews Coeff,Reviews Threshold,From (Year),To (Year),Tags,,,How to use:,,
32,50,2020,2023,CRPG,,,"        • Choose up to 3 tags
        • Choose year range 
        • Adjust Sort by, Review Threshold and Coeff if needed.
        • Wait a bit.",,
Sort by,Median Launch Price,Median Reviews,Total Games,Median Owners,Median Revenue,Median Score,,,
Reviews Total,"$15,49",219,132,7 008,"$39 937,83",82%,,,
App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Steam Page,Tags,Owners Estimated,Revenue Estimated
1585570,Workplace Rhapsody,1292,86%,2021-09-29,"$9,99",https://store.steampowered.com/app/1585570,"Sexual Content, Mature, Nudity, Story Rich, JRPG, Emotional, Life Sim, Anime, RPG, Casual, Dating Sim, Simulation, Romance, Singleplayer, Comedy, Indie, Time Management, CRPG, Drama, Immersive Sim",41344,$158 317
1580520,Lost Eidolons,990,75%,2022-10-13,"$34,99",https://store.steampowered.com/app/1580520,"RPG, Strategy RPG, Turn Based Strategy, Turn Based Tactics, Tactical RPG, Turn Based Combat, CRPG, Fantasy, Medieval, Tactical, Singleplayer, Strategy, 3D, Story Rich, Character Customization, Top Down, Casual, Combat, Magic, Indie",31680,$424 891
648410,Colony Ship: A Post-Earth Role Playing Game,875,85%,2021-04-06,"$34,99",https://store.steampowered.com/app/648410,"Early Access, Turn Based, Tactical RPG, Party Based RPG, Choices Matter, CRPG, Turn Based Tactics, RPG, Turn Based Strategy, Isometric, Cyberpunk, Lore Rich, Conversation, Multiple Endings, Nonlinear, Story Rich, Turn Based Combat, Dystopian, Sci fi, Space",28000,$375 535
909660,Vagrus - The Riven Realms,854,84%,2021-10-05,"$29,99",https://store.steampowered.com/app/909660,"Story Rich, Open World, Strategy RPG, Choose Your Own Adventure, Difficult, Dungeons & Dragons, RPG, CRPG, Narrative, Exploration, Dark Fantasy, Turn Based Strategy, Choices Matter, Lore Rich, Resource Management, Turn Based, Singleplayer, Trading, 2D, Post apocalyptic",27328,$314 147
917720,Gamedec - Definitive Edition,814,80%,2021-09-16,"$29,99",https://store.steampowered.com/app/917720,"Cyberpunk, Detective, Isometric, CRPG, Choices Matter, Choose Your Own Adventure, Lore Rich, RPG, Character Customization, Noir, Exploration, Story Rich, Text Based, Multiple Endings, Narration, Transhumanism, Point & Click, Nonlinear, Conversation, Atmospheric",26048,$299 433
1707650,Swords and Sandals Immortals,770,87%,2023-03-09,"$17,99",https://store.steampowered.com/app/1707650,"RPG, Roguelike, Roguelite, Turn Based Combat, Martial Arts, Turn Based Strategy, Strategy RPG, Turn Based Tactics, Fantasy, Combat, CRPG, Tactical RPG, Colorful, Character Customization, 2D, PvP, 2D Fighter, Strategy, Medieval, Class Based",24640,$169 911
919360,Alaloth: Champions of The Four Kingdoms,741,76%,2022-06-30,"$24,99",https://store.steampowered.com/app/919360,"Early Access, Action RPG, Souls like, Isometric, Hack and Slash, Fantasy, Dungeon Crawler, Sandbox, Dark Fantasy, Singleplayer, RPG, Open World, Lore Rich, Story Rich, CRPG, Top Down, Nonlinear, Swordplay, Magic, Exploration",23712,$227 135
1695830,Baldur's Gate: Dark Alliance,688,83%,2021-12-17,"$29,99",https://store.steampowered.com/app/1695830,"Action, RPG, Action RPG, Dungeon Crawler, Hack and Slash, CRPG, 3D, Isometric, Fantasy, Old School, Magic, Character Customization, Combat, PvE, Story Rich, Local Co Op, Singleplayer, Dungeons & Dragons, Adventure, Co op",22016,$253 083
1374930,Black Geyser: Couriers of Darkness,671,72%,2022-03-17,"$29,99",https://store.steampowered.com/app/1374930,"RPG, CRPG, Real Time with Pause, Party Based RPG, Isometric, Tactical RPG, Character Customization, Indie, Choices Matter, Open World, Multiple Endings, Crowdfunded, Story Rich, Exploration, Fantasy, Choose Your Own Adventure, Medieval, Old School, Singleplayer, Tabletop",21472,$246 830
1798010,Mega Man Battle Network Legacy Collection Vol. 1,669,93%,2023-04-13,"$39,99",https://store.steampowered.com/app/1798010,"RPG, Action, Action RPG, Pixel Graphics, Singleplayer, Deckbuilding, PvP, Retro, Trading, 2D, Science, PvE, CRPG, JRPG, Anime",21408,$328 153
